# kdata file
# Format: Name, Sweetness, Sourness, Nuttiness, Texture
Billy Bonker's Sour Cheese Nugat-Filled Velvet,0.08,0.95,0.41,0.14
Billy Bonker's Refreshingly Bittersweet Nugat-Filled Candy Sticks,0.34,0.12,0.43,0.98
Hearsay Tart Cheese Nut Fudge,0.26,0.83,0.84,0.09
Good Ivan's Indulgent Caramel Wafers,0.79,0.65,0.14,0.61
Nastly Tangy Bitter Chocolate Coated Wafers,0.25,1,0.56,0.38
Hearsay Cool Bittersweet Walnut Bar,0.37,0.29,0.86,0.48
Good Ivan's Honey Chocolate Coated Bar,0.84,0.39,0.4,0.39
Nastly Sour Semisweet Caramel Nonpariels,0.49,0.96,0.05,0.36
Hearsay Tart Semisweet Wintergreen Bar,0.6,0.93,0.23,0.35
Hearsay Refreshingly Dark Walnut Nonpariels,0.55,0.24,0.84,0.52
Nastly Sour Honey Nut Clusters,0.97,0.77,1,0.89
Nastly Semisweet Chocolate Coated Fudge,0.31,0.49,0.38,0.21
Billy Bonker's Luxurious Indulgent Peanut-Butter Nonpariels,0.97,0.05,0.51,0.43
Billy Bonker's Refreshingly Bittersweet Peanut-Butter Lollipops,0.39,0.01,0.69,0.82
Hearsay Dark Fruit Bar,0.5,0.64,0.25,0.62
Billy Bonker's Refreshingly Dark Almond Jawbreakers,0.49,0.1,0.82,1
Nastly Bitter Caramel Clusters,0.15,0.7,0.13,0.8
Hearsay Indulgent Peanut-Butter Mints,0.74,0.7,0.64,0.33
Hearsay Refreshingly Bittersweet Nut Chews,0.47,0.19,0.72,0.28
Billy Bonker's Cheese Chocolate Coated Nonpariels,0.04,0.66,0.5,0.34
Hearsay Tart Bittersweet Almond Chews,0.51,0.93,0.82,0.19
Nastly Salted Almond Nonpariels,0.29,0.68,0.81,0.42
Good Ivan's Honey Almond Mints,0.71,0.61,0.73,0.4
Billy Bonker's Dark Fruit Candy Sticks,0.3,0.49,0.07,0.81
Billy Bonker's Dark Almond Lollipops,0.38,0.56,0.9,0.92
Billy Bonker's Tart Salted Chocolate Coated Fudge,0.22,0.84,0.36,0.21
Billy Bonker's Tangy Sinful Cashew Chews,0.87,0.96,0.72,0.11
Billy Bonker's Refreshingly Semisweet Peanut Candy Sticks,0.46,0.1,0.97,0.76
Nastly Cool Bittersweet Chocolate Coated Jawbreakers,0.62,0.11,0.68,0.95
Good Ivan's Honey Walnut Fudge,0.9,0.64,0.83,0.03
Nastly Cheese Cashew Candy Sticks,0.16,0.39,0.84,0.73
Billy Bonker's Bittersweet Chocolate Nonpariels,0.51,0.62,0.07,0.64
Billy Bonker's Honey Caramel Wafers,0.84,0.57,0.07,0.37
Billy Bonker's Sinful Walnut Wafers,0.85,0.63,0.77,0.33
Billy Bonker's Honey Chocolate Fudge,0.99,0.56,0.18,0.22
Nastly Tangy Indulgent Nut Mints,0.97,0.87,0.76,0.36
Nastly Tangy Bittersweet Fruit Bar,0.33,0.85,0.01,0.5
Nastly Sour Honey Spearmint Velvet,0.72,0.78,0.21,0.2
Nastly Cool Dark Nugat-Filled Lollipops,0.52,0.16,0.41,0.91
Billy Bonker's Honey Caramel Jawbreakers,0.9,0.38,0.16,0.72
Nastly Bittersweet Fruit Mints,0.55,0.47,0.16,0.57
Nastly Cool Semisweet Chocolate Coated Nonpariels,0.61,0.2,0.57,0.45
Nastly Honey Chocolate Coated Jawbreakers,0.75,0.54,0.66,0.89
Nastly Bittersweet Almond Fudge,0.55,0.44,0.8,0.19
Nastly Tart Cheese Chocolate Coated Wafers,0.24,1,0.41,0.36
Hearsay Salted Walnut Fudge,0.2,0.63,0.8,0.05
Hearsay Dark Fruit Wafers,0.64,0.67,0.26,0.61
Hearsay Cool Sinful Peanut-Butter Wafers,0.97,0.26,0.43,0.36
Good Ivan's Cool Dark Chocolate Candy Sticks,0.69,0.17,0.11,0.96
Billy Bonker's Semisweet Peanut-Butter Clusters,0.69,0.57,0.36,0.97
Nastly Refreshingly Bittersweet Chocolate Coated Bar,0.62,0.15,0.48,0.5
Billy Bonker's Indulgent Nugat-Filled Wafers,0.93,0.33,0.65,0.52
Billy Bonker's Sour Dark Chocolate Bar,0.64,0.83,0.18,0.68
Hearsay Cool Semisweet Peanut Bar,0.33,0.24,0.77,0.62
Hearsay Sour Bittersweet Chocolate Coated Wafers,0.4,0.85,0.44,0.38
Nastly Sour Honey Fruit Jawbreakers,0.94,0.96,0.18,0.79
Good Ivan's Cool Semisweet Chocolate Coated Mints,0.65,0.01,0.63,0.68
Billy Bonker's Sour Dark Chocolate Fudge,0.49,0.74,0.11,0.2
Good Ivan's Salted Spearmint Wafers,0.23,0.36,0.16,0.48
Nastly Tart Indulgent Wintergreen Lollipops,0.76,0.79,0.16,0.99
Billy Bonker's Tart Bittersweet Chocolate Coated Wafers,0.61,0.83,0.34,0.4
Good Ivan's Tart Honey Chocolate Coated Nonpariels,0.98,0.93,0.6,0.43
Billy Bonker's Tangy Salted Spearmint Nonpariels,0.29,0.84,0.26,0.35
Hearsay Tart Honey Nut Velvet,0.91,0.87,0.81,0.05
Nastly Dark Fruit Wafers,0.66,0.67,0.01,0.35
Good Ivan's Sour Dark Nugat-Filled Fudge,0.36,0.76,0.54,0.04
Hearsay Sour Bitter Chocolate Coated Fudge,0.24,0.81,0.46,0.21
Good Ivan's Sour Bitter Chocolate Coated Velvet,0.17,0.89,0.61,0.12
Billy Bonker's Cool Bittersweet Peanut Lollipops,0.58,0.18,0.73,0.98
Billy Bonker's Tangy Semisweet Cashew Wafers,0.62,0.99,0.75,0.37
Billy Bonker's Dark Peanut-Butter Clusters,0.68,0.49,0.68,0.76
Hearsay Salted Chocolate Chews,0.05,0.47,0.11,0.22
Nastly Sour Semisweet Chocolate Bar,0.41,0.75,0.17,0.35
Nastly Bitter Chocolate Wafers,0.22,0.66,0.21,0.55
Hearsay Tart Sinful Almond Mints,0.97,0.85,0.94,0.55
Nastly Luxurious Honey Nugat-Filled Nonpariels,0.94,0.05,0.47,0.65
Hearsay Indulgent Nugat-Filled Wafers,0.81,0.58,0.56,0.49
Hearsay Cheese Nugat-Filled Lollipops,0.04,0.69,0.66,0.95
Good Ivan's Tangy Indulgent Almond Bar,0.95,0.84,0.96,0.48
Nastly Cool Semisweet Nugat-Filled Wafers,0.47,0.13,0.45,0.45
Hearsay Salted Fruit Mints,0.02,0.51,0.23,0.66
Hearsay Tangy Dark Peanut-Butter Mints,0.63,0.88,0.69,0.57
Good Ivan's Bittersweet Nugat-Filled Jawbreakers,0.44,0.48,0.39,0.75
Nastly Luxurious Bitter Chocolate Fudge,0.26,0.11,0.21,0.29
Nastly Cool Indulgent Cashew Jawbreakers,0.82,0.24,0.94,0.88
Nastly Cool Salted Nugat-Filled Wafers,0.01,0.27,0.48,0.69
Hearsay Sinful Nugat-Filled Fudge,0.89,0.37,0.33,0.08
Hearsay Refreshingly Cheese Peanut Velvet,0.16,0.15,0.72,0.06
Good Ivan's Tangy Indulgent Chocolate Coated Velvet,0.81,0.85,0.55,0.06
Nastly Luxurious Semisweet Walnut Bar,0.65,0.24,0.96,0.54
Nastly Tart Semisweet Chocolate Bar,0.35,0.8,0.27,0.66
Nastly Salted Nugat-Filled Chews,0.21,0.67,0.39,0.23
Nastly Luxurious Dark Nugat-Filled Chews,0.4,0.01,0.48,0.11
Nastly Tangy Indulgent Chocolate Coated Wafers,0.8,0.79,0.6,0.35
Hearsay Sour Honey Cashew Wafers,0.99,0.99,0.88,0.49
Good Ivan's Cool Indulgent Nugat-Filled Bar,0.72,0.02,0.55,0.54
Nastly Cheese Almond Bar,0.29,0.32,0.75,0.33
Billy Bonker's Tangy Sinful Peanut-Butter Candy Sticks,0.84,0.92,0.33,0.9
Nastly Refreshingly Bitter Nut Candy Sticks,0.05,0.07,0.88,0.86
Good Ivan's Refreshingly Bittersweet Nugat-Filled Chews,0.4,0.05,0.37,0.19
Nastly Luxurious Semisweet Almond Candy Sticks,0.54,0.18,0.87,0.71
Hearsay Bitter Nut Velvet,0.09,0.34,0.76,0
Nastly Sour Dark Fruit Bar,0.37,0.91,0.11,0.38
Good Ivan's Indulgent Peanut Fudge,0.76,0.56,0.87,0.02
Nastly Bitter Almond Nonpariels,0.26,0.43,0.98,0.61
Good Ivan's Indulgent Cashew Mints,0.71,0.45,0.97,0.53
Hearsay Luxurious Sinful Peanut-Butter Fudge,0.81,0.21,0.57,0.1
Good Ivan's Refreshingly Bittersweet Peanut-Butter Nonpariels,0.62,0.22,0.69,0.35
Hearsay Tart Semisweet Peanut-Butter Clusters,0.51,0.93,0.44,0.74
Nastly Refreshingly Bitter Peanut-Butter Nonpariels,0.16,0.13,0.67,0.48
Hearsay Indulgent Nugat-Filled Bar,0.87,0.66,0.5,0.32
Nastly Sour Bittersweet Chocolate Coated Chews,0.37,0.93,0.62,0.13
Nastly Indulgent Spearmint Bar,0.86,0.41,0.21,0.34
Good Ivan's Tart Bitter Nugat-Filled Nonpariels,0.29,0.78,0.34,0.44
Nastly Luxurious Indulgent Chocolate Coated Bar,0.96,0.04,0.46,0.52
Hearsay Luxurious Indulgent Caramel Chews,0.82,0.12,0.28,0.03
Billy Bonker's Semisweet Chocolate Coated Velvet,0.44,0.43,0.42,0.08
Hearsay Indulgent Chocolate Clusters,0.72,0.56,0.18,0.74
Billy Bonker's Tart Semisweet Peanut-Butter Fudge,0.44,0.89,0.68,0.17
Good Ivan's Salted Chocolate Coated Lollipops,0.21,0.45,0.66,0.83
Good Ivan's Sour Dark Peanut-Butter Velvet,0.33,0.8,0.4,0.2
Nastly Honey Almond Fudge,0.78,0.65,0.85,0.01
Billy Bonker's Cool Dark Walnut Bar,0.48,0.26,0.87,0.5
Billy Bonker's Refreshingly Dark Peanut Bar,0.46,0.22,0.85,0.65
Billy Bonker's Semisweet Chocolate Fudge,0.66,0.42,0.29,0.07
Good Ivan's Luxurious Dark Wintergreen Bar,0.54,0.29,0.03,0.64
Billy Bonker's Luxurious Sinful Caramel Velvet,0.97,0.16,0.03,0.13
Nastly Indulgent Nut Nonpariels,0.84,0.5,0.96,0.35
Hearsay Tart Dark Chocolate Bar,0.64,0.95,0.15,0.58
Hearsay Luxurious Dark Nut Bar,0.62,0.29,0.78,0.37
Hearsay Bittersweet Walnut Velvet,0.35,0.33,0.95,0.12
Good Ivan's Refreshingly Indulgent Peanut-Butter Fudge,0.71,0.26,0.62,0.13
Billy Bonker's Tangy Bittersweet Chocolate Coated Fudge,0.44,0.98,0.4,0.18
Nastly Refreshingly Semisweet Chocolate Coated Bar,0.66,0.1,0.61,0.59
Billy Bonker's Cheese Peanut Candy Sticks,0.18,0.69,0.84,0.97
Good Ivan's Tart Bittersweet Walnut Wafers,0.54,0.93,0.87,0.55
Billy Bonker's Tart Sinful Chocolate Jawbreakers,0.83,0.86,0.25,0.76
Nastly Tangy Sinful Walnut Wafers,0.81,0.96,0.74,0.44
Good Ivan's Sour Sinful Peanut Wafers,0.76,0.91,0.75,0.45
Hearsay Cool Cheese Cashew Chews,0.15,0.13,0.95,0.22
Good Ivan's Salted Spearmint Fudge,0.12,0.4,0.09,0.14
Good Ivan's Tangy Bittersweet Chocolate Coated Chews,0.3,0.98,0.32,0.28
Nastly Semisweet Chocolate Coated Candy Sticks,0.33,0.33,0.65,0.78
Hearsay Tart Indulgent Peanut-Butter Lollipops,1,0.92,0.61,0.86
Billy Bonker's Cool Honey Peanut-Butter Chews,0.81,0.22,0.48,0.14
Billy Bonker's Tangy Bitter Peanut-Butter Chews,0.29,0.94,0.48,0.12
Good Ivan's Sour Cheese Peanut-Butter Mints,0.11,0.93,0.33,0.39
Good Ivan's Cool Dark Fruit Fudge,0.32,0.04,0.26,0.09
Hearsay Luxurious Honey Nugat-Filled Bar,0.88,0.06,0.33,0.31
Billy Bonker's Refreshingly Sinful Spearmint Candy Sticks,0.83,0.07,0.09,0.9
Good Ivan's Dark Walnut Clusters,0.55,0.38,0.71,0.75
Good Ivan's Dark Chocolate Coated Nonpariels,0.5,0.61,0.34,0.48
Good Ivan's Cool Bittersweet Fruit Nonpariels,0.39,0.07,0.23,0.53
Hearsay Cool Bittersweet Nugat-Filled Bar,0.65,0.15,0.41,0.53
Billy Bonker's Refreshingly Dark Caramel Nonpariels,0.68,0.05,0.03,0.41
Billy Bonker's Sinful Peanut-Butter Chews,0.74,0.52,0.32,0.25
Billy Bonker's Indulgent Peanut-Butter Mints,0.72,0.66,0.66,0.57
Hearsay Tart Dark Wintergreen Bar,0.49,0.81,0.14,0.46
Good Ivan's Refreshingly Bittersweet Chocolate Coated Wafers,0.69,0.01,0.63,0.64
Billy Bonker's Tangy Sinful Wintergreen Nonpariels,0.71,0.77,0.02,0.32
Good Ivan's Indulgent Peanut-Butter Nonpariels,0.75,0.69,0.65,0.58
Good Ivan's Refreshingly Bittersweet Almond Mints,0.54,0,0.96,0.38
Hearsay Cheese Cashew Nonpariels,0.2,0.44,0.98,0.6
Good Ivan's Bitter Chocolate Coated Bar,0.07,0.35,0.5,0.69
Hearsay Semisweet Nugat-Filled Lollipops,0.4,0.33,0.69,0.97
Good Ivan's Semisweet Nut Bar,0.33,0.61,0.71,0.69
Billy Bonker's Cool Semisweet Peanut-Butter Mints,0.66,0.02,0.39,0.46
Hearsay Tart Bittersweet Walnut Velvet,0.66,0.84,0.78,0.24
Hearsay Sour Cheese Chocolate Coated Fudge,0.15,0.99,0.42,0.26
Nastly Bitter Walnut Clusters,0.23,0.48,0.98,0.97
Good Ivan's Bittersweet Cashew Candy Sticks,0.46,0.54,0.91,0.82
Good Ivan's Tangy Sinful Cashew Nonpariels,0.73,0.87,0.71,0.48
Billy Bonker's Dark Peanut Bar,0.33,0.39,0.93,0.38
Billy Bonker's Tangy Dark Fruit Bar,0.33,0.75,0.11,0.65
Hearsay Semisweet Nugat-Filled Mints,0.67,0.61,0.31,0.37
Billy Bonker's Tangy Semisweet Nut Bar,0.38,0.97,0.75,0.41
Good Ivan's Tangy Semisweet Wintergreen Jawbreakers,0.66,0.76,0.08,0.79
Nastly Tart Indulgent Walnut Velvet,0.76,0.99,0.97,0.12
Hearsay Sour Bitter Peanut-Butter Chews,0.11,0.87,0.38,0.19
Hearsay Luxurious Dark Almond Mints,0.56,0.14,0.71,0.31
Hearsay Sinful Peanut-Butter Fudge,0.87,0.54,0.34,0.13
Nastly Dark Nut Chews,0.41,0.66,0.71,0.15
Good Ivan's Refreshingly Bittersweet Peanut-Butter Lollipops,0.58,0.05,0.62,0.78
Good Ivan's Tart Honey Cashew Wafers,0.91,0.88,0.71,0.4
Billy Bonker's Cheese Almond Wafers,0.21,0.47,0.96,0.4
Hearsay Salted Chocolate Coated Velvet,0.16,0.67,0.37,0.11
Nastly Refreshingly Dark Peanut-Butter Nonpariels,0.67,0.04,0.67,0.52
Nastly Cool Bittersweet Nut Nonpariels,0.58,0.07,0.86,0.4
Billy Bonker's Semisweet Nut Bar,0.66,0.31,0.97,0.37
Billy Bonker's Tart Semisweet Caramel Clusters,0.43,0.85,0.05,0.74
Billy Bonker's Cool Indulgent Chocolate Coated Nonpariels,0.82,0.14,0.53,0.57
Good Ivan's Honey Wintergreen Nonpariels,0.89,0.67,0.1,0.68
Nastly Cheese Peanut Nonpariels,0.26,0.44,0.85,0.56
Nastly Sinful Chocolate Coated Chews,0.86,0.41,0.34,0.21
Hearsay Tart Dark Chocolate Coated Clusters,0.66,0.73,0.52,0.77
Good Ivan's Luxurious Dark Caramel Jawbreakers,0.33,0.13,0.29,0.99
Billy Bonker's Tangy Dark Chocolate Bar,0.5,0.88,0.08,0.5
Hearsay Cool Semisweet Walnut Clusters,0.4,0.03,0.96,0.84
Nastly Honey Nugat-Filled Velvet,0.98,0.59,0.51,0.24
Nastly Sinful Chocolate Fudge,0.91,0.36,0.27,0.27
Good Ivan's Tangy Salted Fruit Candy Sticks,0.17,0.87,0.28,0.99
Good Ivan's Semisweet Nut Lollipops,0.42,0.33,0.91,0.97
Good Ivan's Sour Sinful Cashew Mints,0.96,0.91,0.96,0.33
Hearsay Sinful Chocolate Candy Sticks,0.94,0.68,0.17,0.92
Billy Bonker's Luxurious Dark Nut Chews,0.49,0.16,0.75,0.15
Nastly Semisweet Chocolate Wafers,0.7,0.36,0.16,0.35
Hearsay Tangy Sinful Spearmint Candy Sticks,0.92,0.79,0.12,0.73
Good Ivan's Sour Bittersweet Peanut Nonpariels,0.68,0.86,0.97,0.31
Nastly Dark Nugat-Filled Bar,0.42,0.69,0.49,0.31
Hearsay Honey Chocolate Coated Bar,0.9,0.36,0.39,0.42
Billy Bonker's Indulgent Peanut-Butter Bar,0.94,0.37,0.65,0.56
Good Ivan's Cool Honey Peanut-Butter Lollipops,0.92,0.14,0.43,0.99
Hearsay Sinful Peanut-Butter Wafers,0.73,0.33,0.54,0.4
Good Ivan's Refreshingly Indulgent Chocolate Coated Candy Sticks,0.84,0.01,0.52,0.81
Nastly Sour Sinful Chocolate Jawbreakers,0.72,0.71,0.01,0.95
Nastly Dark Peanut Candy Sticks,0.38,0.5,0.92,0.76
Nastly Salted Nut Lollipops,0.12,0.56,0.88,0.97
Hearsay Sour Honey Spearmint Clusters,0.83,0.76,0.19,0.74
Hearsay Tangy Cheese Spearmint Candy Sticks,0.17,0.77,0.16,0.79
Billy Bonker's Salted Chocolate Velvet,0.24,0.68,0,0.09
Hearsay Dark Nugat-Filled Lollipops,0.33,0.64,0.61,0.9
Nastly Tart Dark Spearmint Velvet,0.36,0.73,0.2,0.27
Nastly Salted Nut Mints,0.25,0.32,0.8,0.59
Nastly Cool Semisweet Nugat-Filled Velvet,0.33,0.16,0.45,0.05
Hearsay Luxurious Indulgent Peanut-Butter Lollipops,0.96,0.01,0.58,0.91
Billy Bonker's Semisweet Nugat-Filled Nonpariels,0.38,0.58,0.49,0.43
Hearsay Semisweet Caramel Mints,0.54,0.58,0.2,0.56
Billy Bonker's Luxurious Salted Chocolate Coated Fudge,0.04,0.07,0.7,0.09
Hearsay Tangy Dark Peanut Bar,0.65,0.92,0.8,0.57
Good Ivan's Dark Nugat-Filled Chews,0.48,0.37,0.59,0.04
Billy Bonker's Sour Bitter Chocolate Coated Fudge,0.19,0.86,0.62,0.26
Nastly Cheese Chocolate Candy Sticks,0.04,0.57,0.16,0.75
Billy Bonker's Tangy Bittersweet Peanut-Butter Mints,0.64,0.9,0.7,0.34
Good Ivan's Bittersweet Nugat-Filled Bar,0.37,0.62,0.41,0.38
Billy Bonker's Luxurious Indulgent Peanut-Butter Bar,0.81,0.2,0.7,0.39
Nastly Cool Dark Walnut Nonpariels,0.68,0.26,0.84,0.65
Nastly Tart Semisweet Chocolate Coated Mints,0.67,0.72,0.31,0.57
Hearsay Indulgent Nugat-Filled Velvet,0.76,0.37,0.65,0.18
Billy Bonker's Bittersweet Chocolate Coated Chews,0.38,0.38,0.33,0.29
Nastly Luxurious Dark Chocolate Coated Lollipops,0.44,0.14,0.68,0.94
Nastly Dark Nugat-Filled Mints,0.54,0.69,0.48,0.36
Billy Bonker's Bitter Peanut Mints,0.16,0.32,0.79,0.53
Hearsay Luxurious Bittersweet Walnut Candy Sticks,0.37,0.14,0.91,0.8
Good Ivan's Sinful Caramel Velvet,0.99,0.46,0.27,0.06
Nastly Cheese Peanut Jawbreakers,0.02,0.41,0.9,0.99
Good Ivan's Semisweet Peanut Velvet,0.36,0.56,0.86,0.2
Nastly Tart Honey Wintergreen Jawbreakers,0.91,0.99,0.22,0.83
Nastly Sour Semisweet Nut Wafers,0.62,0.88,0.96,0.63
Nastly Bitter Fruit Clusters,0.03,0.65,0.14,0.71
Nastly Luxurious Bittersweet Caramel Nonpariels,0.6,0.02,0.27,0.4
Nastly Honey Cashew Mints,0.73,0.65,0.82,0.46
Good Ivan's Dark Peanut Lollipops,0.55,0.36,0.72,0.93
Nastly Luxurious Semisweet Cashew Wafers,0.51,0.1,0.97,0.69
Nastly Tart Honey Caramel Lollipops,0.95,0.97,0.09,0.76
Good Ivan's Bittersweet Chocolate Wafers,0.52,0.69,0.26,0.6
Good Ivan's Tart Salted Peanut-Butter Fudge,0.21,0.78,0.45,0.04
Good Ivan's Cool Honey Chocolate Mints,0.96,0.1,0.09,0.63
Good Ivan's Cheese Almond Nonpariels,0.1,0.38,0.93,0.65
Nastly Tangy Honey Cashew Mints,0.86,0.8,0.98,0.49
Nastly Luxurious Semisweet Peanut Chews,0.32,0.19,0.82,0.04
Hearsay Salted Cashew Lollipops,0.19,0.49,0.92,0.78
Billy Bonker's Salted Cashew Mints,0.18,0.66,0.8,0.61
Billy Bonker's Sour Sinful Walnut Candy Sticks,0.92,0.9,0.94,0.94
Nastly Honey Fruit Bar,0.79,0.44,0.21,0.52
Hearsay Honey Nugat-Filled Velvet,0.84,0.65,0.34,0.16
Nastly Luxurious Honey Nugat-Filled Bar,0.95,0.08,0.69,0.63
Billy Bonker's Luxurious Honey Peanut-Butter Bar,0.73,0.05,0.39,0.47
Good Ivan's Refreshingly Semisweet Nugat-Filled Bar,0.62,0.07,0.39,0.49
Hearsay Refreshingly Dark Peanut Wafers,0.39,0.21,0.89,0.64
Hearsay Bitter Cashew Bar,0.27,0.45,0.74,0.43
Good Ivan's Salted Walnut Candy Sticks,0.24,0.57,0.84,0.76
Good Ivan's Tart Sinful Nugat-Filled Candy Sticks,0.85,0.92,0.36,0.74
Good Ivan's Tart Bitter Chocolate Coated Velvet,0.05,0.96,0.43,0.28
Nastly Salted Peanut Lollipops,0.28,0.48,0.76,0.82
Nastly Sour Indulgent Cashew Jawbreakers,0.98,0.95,0.87,0.77
Hearsay Bittersweet Chocolate Mints,0.36,0.68,0.16,0.62
Hearsay Sour Honey Nugat-Filled Wafers,0.9,0.94,0.64,0.63
Nastly Semisweet Nut Bar,0.39,0.61,0.81,0.3
Good Ivan's Tangy Cheese Peanut-Butter Fudge,0.26,0.78,0.33,0.17
Nastly Luxurious Salted Nugat-Filled Wafers,0.23,0.05,0.53,0.59
Billy Bonker's Bittersweet Chocolate Mints,0.69,0.3,0.16,0.34
Nastly Bittersweet Almond Velvet,0.52,0.31,0.71,0.11
Good Ivan's Sour Salted Peanut-Butter Velvet,0.28,0.97,0.66,0.16
Nastly Semisweet Peanut-Butter Wafers,0.63,0.33,0.36,0.42
Good Ivan's Dark Chocolate Coated Mints,0.44,0.38,0.62,0.64
Hearsay Sour Bittersweet Nugat-Filled Velvet,0.3,0.97,0.55,0.14
Nastly Bittersweet Peanut-Butter Lollipops,0.47,0.68,0.36,0.79
Billy Bonker's Luxurious Sinful Peanut Lollipops,0.91,0.28,0.82,0.78
Billy Bonker's Tart Cheese Chocolate Coated Chews,0,0.98,0.65,0.29
Good Ivan's Dark Chocolate Nonpariels,0.7,0.59,0.14,0.37
Hearsay Bitter Nugat-Filled Velvet,0.21,0.63,0.48,0.29
Billy Bonker's Sinful Caramel Jawbreakers,0.88,0.55,0.11,0.71
Good Ivan's Sour Semisweet Chocolate Coated Wafers,0.31,0.87,0.32,0.49
Nastly Dark Peanut Velvet,0.34,0.37,0.88,0.01
Billy Bonker's Salted Almond Clusters,0.2,0.5,0.74,0.72
Nastly Sinful Almond Jawbreakers,0.75,0.43,0.75,0.73
Billy Bonker's Cheese Cashew Nonpariels,0.08,0.44,0.89,0.67
Billy Bonker's Tangy Bitter Peanut-Butter Nonpariels,0.09,0.71,0.36,0.35
Billy Bonker's Bittersweet Nut Nonpariels,0.68,0.45,0.87,0.38
Billy Bonker's Sour Honey Cashew Nonpariels,0.88,0.78,0.85,0.45
Billy Bonker's Tangy Salted Nugat-Filled Chews,0.29,0.89,0.4,0.02
Hearsay Tart Bittersweet Nut Mints,0.61,0.99,0.95,0.52
Nastly Indulgent Walnut Wafers,0.72,0.65,0.99,0.36
Billy Bonker's Refreshingly Sinful Chocolate Coated Mints,0.79,0.12,0.47,0.58
Billy Bonker's Sour Bittersweet Chocolate Wafers,0.62,0.94,0.19,0.5
Nastly Bittersweet Nugat-Filled Wafers,0.41,0.34,0.44,0.66
Hearsay Refreshingly Semisweet Almond Clusters,0.49,0.13,0.81,0.93
Good Ivan's Sour Bittersweet Wintergreen Bar,0.61,0.82,0.18,0.65
Good Ivan's Dark Chocolate Bar,0.6,0.62,0.24,0.62
Hearsay Sour Sinful Nugat-Filled Clusters,0.95,0.93,0.39,0.92
Nastly Luxurious Semisweet Chocolate Coated Wafers,0.61,0.21,0.31,0.54
Hearsay Sour Bittersweet Nut Jawbreakers,0.41,0.77,0.92,0.98
Good Ivan's Sinful Chocolate Chews,0.84,0.55,0.03,0.16
Nastly Dark Nugat-Filled Fudge,0.68,0.62,0.37,0.02
Good Ivan's Tart Bitter Fruit Mints,0.15,0.84,0.03,0.46
Good Ivan's Dark Fruit Chews,0.64,0.33,0,0
Hearsay Honey Peanut Chews,0.97,0.49,0.91,0.19
Billy Bonker's Cheese Walnut Candy Sticks,0.05,0.59,0.92,0.96
Nastly Tangy Dark Caramel Clusters,0.49,0.76,0.18,0.98
Billy Bonker's Luxurious Semisweet Nut Lollipops,0.59,0.18,0.79,0.73
Nastly Semisweet Nugat-Filled Bar,0.67,0.7,0.44,0.65
Hearsay Sour Dark Peanut-Butter Mints,0.61,0.86,0.5,0.5
Hearsay Refreshingly Dark Nut Clusters,0.58,0.02,0.72,0.71
Good Ivan's Bittersweet Fruit Velvet,0.65,0.42,0.05,0.26
Hearsay Sour Salted Peanut-Butter Chews,0.07,0.94,0.65,0.18
Hearsay Dark Fruit Nonpariels,0.32,0.35,0.26,0.62
Hearsay Semisweet Chocolate Coated Mints,0.64,0.51,0.62,0.5
Billy Bonker's Bitter Almond Mints,0.14,0.56,0.78,0.61
Nastly Luxurious Dark Nut Jawbreakers,0.37,0.24,0.83,0.74
Good Ivan's Tart Salted Chocolate Coated Chews,0.04,0.91,0.61,0.11
Hearsay Honey Chocolate Fudge,0.81,0.47,0.09,0.02
Good Ivan's Sour Sinful Nugat-Filled Fudge,0.96,0.78,0.56,0.24
Good Ivan's Sinful Almond Nonpariels,0.87,0.65,0.73,0.34
Hearsay Tart Bittersweet Cashew Jawbreakers,0.67,0.82,0.88,0.93
Billy Bonker's Tart Cheese Nugat-Filled Velvet,0.21,0.88,0.33,0.03
Hearsay Refreshingly Dark Peanut Fudge,0.55,0.27,0.84,0.26
Billy Bonker's Semisweet Almond Clusters,0.68,0.38,0.93,0.93
Good Ivan's Refreshingly Dark Caramel Lollipops,0.36,0.24,0.17,0.98
Hearsay Bitter Caramel Jawbreakers,0.11,0.52,0.1,1
Good Ivan's Tangy Bittersweet Peanut Mints,0.62,0.71,0.83,0.6
Billy Bonker's Honey Walnut Mints,0.82,0.45,0.99,0.47
Billy Bonker's Refreshingly Honey Nugat-Filled Mints,0.74,0.21,0.34,0.36
Nastly Tart Sinful Nugat-Filled Nonpariels,0.78,0.89,0.64,0.69
Hearsay Bittersweet Spearmint Bar,0.62,0.46,0.02,0.5
Nastly Sinful Spearmint Chews,0.76,0.51,0.03,0.2
Billy Bonker's Dark Chocolate Coated Fudge,0.34,0.6,0.33,0.27
Hearsay Semisweet Peanut Nonpariels,0.35,0.62,0.91,0.53
Nastly Cool Indulgent Nugat-Filled Wafers,0.99,0.27,0.3,0.43
Nastly Sinful Nugat-Filled Nonpariels,0.71,0.31,0.7,0.35
Billy Bonker's Cool Salted Chocolate Nonpariels,0.01,0.02,0.02,0.38
Billy Bonker's Refreshingly Dark Almond Nonpariels,0.65,0.21,0.75,0.3
Hearsay Indulgent Nugat-Filled Candy Sticks,0.99,0.44,0.59,0.8
Billy Bonker's Sinful Nugat-Filled Lollipops,0.89,0.42,0.69,0.78
Hearsay Luxurious Dark Peanut-Butter Wafers,0.43,0.03,0.6,0.57
Billy Bonker's Sinful Peanut-Butter Velvet,0.97,0.44,0.32,0.15
